snr_label,snr_db,vehicle_AP@0.3,vehicle_AP@0.5,vehicle_AP@0.7,pedestrian_AP@0.3,pedestrian_AP@0.5,pedestrian_AP@0.7,truck_AP@0.3,truck_AP@0.5,truck_AP@0.7,mAP_AP@0.3,mAP_AP@0.5,mAP_AP@0.7,avg_conf,fusion_method
∞ (clean),-999.0,0.41506081060161565,0.4075017515053489,0.31120841291206347,0.5184410368000368,0.28746921530324365,0.022820125028384666,0.5301772954038412,0.5058067482784373,0.12782272317313403,0.4878930476018312,0.40025923836234334,0.15395042037119405,0.6108288570112419,intermediate
+30.0 dB,30.0,0.277765120695451,0.23296035690965047,0.13859692506252452,0.31307555265447434,0.13126899482149484,0.006425461539870758,0.30716138786654246,0.1988127441993834,0.02651223433378603,0.2993340204054893,0.18768069864350959,0.0571782069787271,0.6210816985382622,intermediate
+20.0 dB,20.0,0.2619870760254223,0.2170000032940294,0.12419640492264399,0.29499021661167085,0.10934501195613636,0.005742899012431411,0.2888621075768214,0.1494508990860854,0.02279492062864153,0.2819464667379715,0.15859863811208372,0.050911408187905634,0.6210612726560847,intermediate
+10.0 dB,10.0,0.1368509298491384,0.08599184714410493,0.048119661554780216,0.14753352256401145,0.05284244720132321,0.002474935056475428,0.11586822964329412,0.04479224666071829,0.004939974946711032,0.13341756068548133,0.061208847002048816,0.01851152385265556,0.6328245697006127,intermediate
+0.0 dB,0.0,0.004637263851421789,0.0019775409423604356,0.001378463944359014,0.004943794976571689,0.002134999154080081,0.00020666941566128806,0.0024201334958803885,0.0004094973054505032,0.0,0.004000397441291288,0.00150734580063034,0.000528377786673434,0.7391708332185616,intermediate
-10.0 dB,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,intermediate
-20.0 dB,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,intermediate
-30.0 dB,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,intermediate
ego only,-998.0,0.24452709516170262,0.23792403876124074,0.19494832145297136,0.3805541422210727,0.19584163994784878,0.01455280522723417,0.4023054411740216,0.34072493344281146,0.055729558683205775,0.34246222618559896,0.258163537383967,0.08841022845447044,,intermediate
