snr_label,snr_db,vehicle_AP@0.3,vehicle_AP@0.5,vehicle_AP@0.7,pedestrian_AP@0.3,pedestrian_AP@0.5,pedestrian_AP@0.7,truck_AP@0.3,truck_AP@0.5,truck_AP@0.7,mAP_AP@0.3,mAP_AP@0.5,mAP_AP@0.7,avg_conf,fusion_method
∞ (clean),-999.0,0.8274671024303318,0.822882241390621,0.6761481144904814,0.3093047328312478,0.11620821336091064,0.001341839400940478,0.7151478928357194,0.7151478928357194,0.6627153379895413,0.617306576032433,0.5514127825290838,0.44673509729365435,0.6526782672152651,intermediate
+30.0 dB,30.0,0.6181270122619229,0.45244439878471615,0.20578111823479073,0.143546559804383,0.03050043199967305,0.00017496638707971524,0.44299832016468554,0.3323800760285652,0.1662417740608406,0.4015572974103305,0.27177496893765146,0.12406595289423701,0.6590935537439789,intermediate
+20.0 dB,20.0,0.5920742895920368,0.4128894398510019,0.1765670344277051,0.1289963352321908,0.02584984703142297,0.00018327184178080653,0.410726980833594,0.28434743435615634,0.1473374532324855,0.3772658685526072,0.24102890707952707,0.10802925316732381,0.6611967608395437,intermediate
+10.0 dB,10.0,0.3152343966663316,0.15398985835267603,0.06255965830500419,0.05668699967784561,0.007336954252324202,4.0311634083325004e-05,0.19711375612961057,0.10202621885484398,0.05173361428267586,0.18967838415792926,0.08778434381994808,0.038111194740587793,0.666387731830279,intermediate
+0.0 dB,0.0,0.015462251076807905,0.003930131017748207,0.0022828847300630016,0.00223718674553137,0.00019333553876297205,8.173343505244874e-07,0.004379882397025096,0.0019450477391400713,0.0010930924366979527,0.00735977340645479,0.002022838098550417,0.0011255981670371595,0.704586743746649,intermediate
-10.0 dB,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,intermediate
-20.0 dB,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,intermediate
-30.0 dB,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,intermediate
ego only,-998.0,0.515741412110408,0.4919655176321517,0.36395516695043595,0.18098799854923608,0.054053956205095136,0.000553467841496497,0.6614386123460568,0.6540843573735903,0.5425856042738842,0.45272267433523367,0.4000346104036123,0.3023647463552723,,intermediate
