model,variant,vehicle_AP@0.3,vehicle_AP@0.5,vehicle_AP@0.7,pedestrian_AP@0.3,pedestrian_AP@0.5,pedestrian_AP@0.7,truck_AP@0.3,truck_AP@0.5,truck_AP@0.7,mAP@0.3,mAP@0.5,mAP@0.7
early,raw,0.594,0.578,0.383,0.214,0.068,0.000,0.353,0.353,0.074,0.387,0.333,0.153
early,improved,0.654,0.649,0.501,0.170,0.049,0.001,0.415,0.412,0.126,0.413,0.370,0.209
late,raw,0.550,0.518,0.305,0.261,0.079,0.002,0.260,0.257,0.002,0.357,0.285,0.103
late,improved,0.599,0.568,0.383,0.253,0.059,0.002,0.254,0.254,0.017,0.369,0.294,0.134
intermediate,raw,0.696,0.668,0.472,0.259,0.075,0.000,0.536,0.536,0.114,0.497,0.427,0.196
intermediate,improved,0.827,0.822,0.675,0.309,0.117,0.001,0.715,0.715,0.663,0.617,0.551,0.446
nofusion,baseline,0.470,0.459,0.370,0.186,0.032,0.000,0.437,0.434,0.167,0.364,0.308,0.179
